"","player_id","weeks","S5_mean","avatar_age","avatar_gender","avatar_id","event_id"
"1",6427001,0,3.9,13,"Male","Hispanic",602
"2",6427001,3,3.9,13,"Male","Hispanic",602
"3",6427001,6,3.875,13,"Male","Hispanic",602
"4",6427027,0,3.8,12,"Male","Caucasian",602
"5",6427027,3,4,12,"Male","Caucasian",602
"6",6427027,6,4,12,"Male","Caucasian",602
"7",6427027,12,3.8,12,"Male","Caucasian",602
"8",6427027,24,3.6,12,"Male","Caucasian",602
"9",6427030,0,2.9,11,"Male","Hispanic",602
"10",6427030,3,3,11,"Male","Hispanic",602
"11",6427030,6,3.2,11,"Male","Hispanic",602
"12",6427030,12,3.3,11,"Male","Hispanic",602
"13",6427030,24,3.5,11,"Male","Hispanic",602
"14",6427032,0,4,11,"Male","African American",602
"15",6427032,3,3.9,11,"Male","African American",602
"16",6427032,6,4,11,"Male","African American",602
"17",6427032,12,3.9,11,"Male","African American",602
"18",6427032,24,3.8,11,"Male","African American",602
"19",6427034,0,4,13,"Male","Caucasian",602
"20",6427034,3,3.8,13,"Male","Caucasian",602
"21",6427034,6,4,13,"Male","Caucasian",602
"22",6427034,12,3.9,13,"Male","Caucasian",602
"23",6427034,24,4,13,"Male","Caucasian",602
"24",6427036,0,3.8,11,"Female","African American",602
"25",6427036,3,3.8,11,"Female","African American",602
"26",6427036,6,3.7,11,"Female","African American",602
"27",6427036,12,4,11,"Female","African American",602
"28",6427037,0,4,12,"Female","Caucasian",602
"29",6427037,6,4,12,"Female","Caucasian",602
"30",6427037,12,4,12,"Female","Caucasian",602
"31",6427038,12,3.1,11,"Female","Hispanic",602
"32",6427039,0,4,12,"Male","African American",602
"33",6427039,3,4,12,"Male","African American",602
"34",6427039,6,4,12,"Male","African American",602
"35",6427039,12,4,12,"Male","African American",602
"36",6427039,24,4,12,"Male","African American",602
"37",6427040,0,3.9,13,"Male","African American",602
"38",6427040,3,3.8,13,"Male","African American",602
"39",6427040,6,4,13,"Male","African American",602
"40",6427040,12,3.9,13,"Male","African American",602
"41",6427041,0,3.9,11,"Female","African American",602
"42",6427041,3,3.8,11,"Female","African American",602
"43",6427041,6,3,11,"Female","African American",602
"44",6427041,12,4,11,"Female","African American",602
"45",6427041,24,3.2,11,"Female","African American",602
"46",6429001,0,3.8,12,"Male","Caucasian",602
"47",6430002,0,4,13,"Female","African American",602
"48",6430002,3,4,13,"Female","African American",602
"49",6430002,6,4,13,"Female","African American",602
"50",6430002,12,4,13,"Female","African American",602
"51",6430002,24,4,13,"Female","African American",602
"52",6430003,0,4,12,"Male","Hispanic",602
"53",6430003,3,4,12,"Male","Hispanic",602
"54",6430003,6,3.7,12,"Male","Hispanic",602
"55",6430004,0,3.9,11,"Male","Hispanic",602
"56",6430004,3,3.7,11,"Male","Hispanic",602
"57",6430004,6,3.9,11,"Male","Hispanic",602
"58",6430004,12,3.8,11,"Male","Hispanic",602
"59",6430008,0,4,11,"Female","Hispanic",602
"60",6430008,3,3.7,11,"Female","Hispanic",602
"61",6430008,6,3.7,11,"Female","Hispanic",602
"62",6430008,12,4,11,"Female","Hispanic",602
"63",6430008,24,3.9,11,"Female","Hispanic",602
"64",6486001,0,4,14,"Male","Hispanic",602
"65",6486001,24,3.7,14,"Male","Hispanic",602
"66",6486002,0,4,14,"Male","Hispanic",602
"67",6486002,3,4,14,"Male","Hispanic",602
"68",6486002,6,3.8,14,"Male","Hispanic",602
"69",6486002,12,4,14,"Male","Hispanic",602
"70",6486002,24,3.9,14,"Male","Hispanic",602
"71",6486003,0,4,12,"Female","Hispanic",602
"72",6486003,3,4,12,"Female","Hispanic",602
"73",6486003,12,4,12,"Female","Hispanic",602
"74",6486003,24,4,12,"Female","Hispanic",602
"75",6486004,0,3.9,12,"Female","Hispanic",602
"76",6486004,3,3.9,12,"Female","Hispanic",602
"77",6486004,6,4,12,"Female","Hispanic",602
"78",6486004,12,3.9,12,"Female","Hispanic",602
"79",6486005,0,3.5,13,"Male","Hispanic",602
"80",6486005,3,3.5,13,"Male","Hispanic",602
"81",6486005,6,3.6,13,"Male","Hispanic",602
"82",6486005,12,3.7,13,"Male","Hispanic",602
"83",6486005,24,4,13,"Male","Hispanic",602
"84",6486009,0,4,14,"Female","Hispanic",602
"85",6486009,3,3.1,14,"Female","Hispanic",602
"86",6486009,12,3.8,14,"Female","Hispanic",602
"87",6486011,0,4,11,"Female","Hispanic",602
"88",6486011,3,4,11,"Female","Hispanic",602
"89",6486011,6,4,11,"Female","Hispanic",602
"90",6486011,12,4,11,"Female","Hispanic",602
"91",6486013,0,4,13,"Male","Caucasian",602
"92",6486018,0,1.3,12,"Male","African American",602
"93",6486018,3,3.7,12,"Male","African American",602
"94",6486018,6,3.1,12,"Male","African American",602
"95",6486019,0,3,13,"Male","Hispanic",602
"96",6486019,3,4,13,"Male","Hispanic",602
"97",6486019,6,3.9,13,"Male","Hispanic",602
"98",6486019,12,4,13,"Male","Hispanic",602
"99",6486020,0,4,12,"Male","Hispanic",602
"100",6486023,0,4,14,"Female","Hispanic",602
"101",6486023,3,3.9,14,"Female","Hispanic",602
"102",6486023,6,4,14,"Female","Hispanic",602
"103",6486023,12,4,14,"Female","Hispanic",602
"104",6486025,0,3.9,14,"Female","Caucasian",602
"105",6486025,6,4,14,"Female","Caucasian",602
"106",6486025,12,4,14,"Female","Caucasian",602
"107",6486026,0,4,13,"Male","African American",602
"108",6486026,3,4,13,"Male","African American",602
"109",6486026,6,4,13,"Male","African American",602
"110",6486026,12,4,13,"Male","African American",602
"111",6486029,0,4,14,"Male","Hispanic",602
"112",6486029,3,4,14,"Male","Hispanic",602
"113",6486029,6,4,14,"Male","Hispanic",602
"114",6486029,12,3.5,14,"Male","Hispanic",602
"115",6486032,0,4,14,"Male","Caucasian",602
"116",6486032,3,4,14,"Male","Caucasian",602
"117",6486032,6,4,14,"Male","Caucasian",602
"118",6486032,12,3.9,14,"Male","Caucasian",602
"119",6486033,0,4,13,"Female","Caucasian",602
"120",6486033,3,4,13,"Female","Caucasian",602
"121",6486033,6,4,13,"Female","Caucasian",602
"122",6486033,12,4,13,"Female","Caucasian",602
"123",6486034,0,3.9,12,"Female","Hispanic",602
"124",6486038,0,4,12,"Female","Hispanic",602
"125",6486038,3,4,12,"Female","Hispanic",602
"126",6486038,6,4,12,"Female","Hispanic",602
"127",6486038,12,4,12,"Female","Hispanic",602
"128",6486039,0,4,11,"Male","Caucasian",602
"129",6486039,3,4,11,"Male","Caucasian",602
"130",6486039,6,4,11,"Male","Caucasian",602
"131",6486039,12,4,11,"Male","Caucasian",602
"132",6486040,0,4,11,"Female","Hispanic",602
"133",6486040,12,3.9,11,"Female","Hispanic",602
"134",6506008,0,4,12,"Male","Caucasian",602
"135",6506008,6,3.9,12,"Male","Caucasian",602
"136",6506008,12,4,12,"Male","Caucasian",602
"137",6506008,24,3.3,12,"Male","Caucasian",602
"138",6506009,0,3.9,11,"Male","African American",602
"139",6506009,12,3.9,11,"Male","African American",602
"140",6506009,24,4,11,"Male","African American",602
"141",6546001,0,3.7,12,"Male","African American",602
"142",6546001,3,3.9,12,"Male","African American",602
"143",6546001,6,3.875,12,"Male","African American",602
"144",6546001,12,3.9,12,"Male","African American",602
"145",6546001,24,3.8,12,"Male","African American",602
"146",6546005,0,4,12,"Male","Caucasian",602
"147",6546005,3,3.7,12,"Male","Caucasian",602
"148",6546005,6,3.7,12,"Male","Caucasian",602
"149",6546005,12,3.7,12,"Male","Caucasian",602
"150",6546005,24,3.7,12,"Male","Caucasian",602
"151",6546006,0,4,11,"Female","African American",602
"152",6546006,3,4,11,"Female","African American",602
"153",6546006,6,4,11,"Female","African American",602
"154",6546006,12,4,11,"Female","African American",602
"155",6546006,24,4,11,"Female","African American",602
"156",6546008,0,3.9,12,"Male","Hispanic",602
"157",6546008,3,4,12,"Male","Hispanic",602
"158",6546008,6,4,12,"Male","Hispanic",602
"159",6546011,0,3.5,11,"Male","African American",602
"160",6546011,3,3.7,11,"Male","African American",602
"161",6546011,6,3.8,11,"Male","African American",602
"162",6546014,0,3.9,NA,NA,NA,NA
"163",6546014,3,3.9,NA,NA,NA,NA
"164",6566001,0,4,11,"Female","African American",602
"165",6566001,3,4,11,"Female","African American",602
"166",6566001,6,4,11,"Female","African American",602
"167",6566003,0,4,13,"Male","Caucasian",602
"168",6566003,3,4,13,"Male","Caucasian",602
"169",6567002,0,3.6,14,"Male","African American",602
"170",6567002,3,4,14,"Male","African American",602
"171",6567002,6,4,14,"Male","African American",602
"172",6567002,12,4,14,"Male","African American",602
"173",6567002,24,4,14,"Male","African American",602
"174",6567003,0,4,13,"Female","African American",602
"175",6567003,3,4,13,"Female","African American",602
"176",6567003,6,4,13,"Female","African American",602
"177",6567003,12,4,13,"Female","African American",602
"178",6567003,24,4,13,"Female","African American",602
"179",6567005,0,3.6,NA,NA,NA,NA
"180",6567005,6,3.1,NA,NA,NA,NA
"181",6606001,0,4,11,"Male","Hispanic",602
"182",6606001,3,3.6,11,"Male","Hispanic",602
"183",6606002,0,3.1,13,"Female","Hispanic",602
"184",6606003,0,3.5,14,"Female","Hispanic",602
"185",6606003,3,3.1,14,"Female","Hispanic",602
"186",6606003,6,3.8,14,"Female","Hispanic",602
"187",6606003,12,4,14,"Female","Hispanic",602
"188",6606003,24,4,14,"Female","Hispanic",602
"189",6606004,0,3.9,13,"Female","African American",602
"190",6606004,3,4,13,"Female","African American",602
"191",6606004,6,4,13,"Female","African American",602
"192",6606004,12,4,13,"Female","African American",602
"193",6606004,24,4,13,"Female","African American",602
"194",6606005,0,3,12,"Female","Hispanic",602
"195",6606005,3,4,12,"Female","Hispanic",602
"196",6606005,6,4,12,"Female","Hispanic",602
"197",6606005,12,4,12,"Female","Hispanic",602
"198",6606006,0,4,12,"Male","Caucasian",602
"199",6606006,3,4,12,"Male","Caucasian",602
"200",6606011,0,4,14,"Female","Caucasian",602
"201",6606011,3,3.8,14,"Female","Caucasian",602
"202",6606011,6,3.8,14,"Female","Caucasian",602
"203",6607006,0,4,13,"Female","Hispanic",602
"204",6607006,6,4,13,"Female","Hispanic",602
"205",6607006,12,2.7,13,"Female","Hispanic",602
"206",6607006,24,4,13,"Female","Hispanic",602
"207",6607007,0,4,12,"Female","Hispanic",602
"208",6607007,3,4,12,"Female","Hispanic",602
"209",6607007,6,4,12,"Female","Hispanic",602
"210",6607007,12,4,12,"Female","Hispanic",602
"211",6607007,24,4,12,"Female","Hispanic",602
"212",6607008,0,3.9,13,"Male","Caucasian",602
"213",6607008,6,3.9,13,"Male","Caucasian",602
"214",6607008,12,3.9,13,"Male","Caucasian",602
"215",6607008,24,3.9,13,"Male","Caucasian",602
"216",6607009,0,4,14,"Male","Hispanic",602
"217",6607009,3,4,14,"Male","Hispanic",602
"218",6607009,6,3.9,14,"Male","Hispanic",602
"219",6607009,12,4,14,"Male","Hispanic",602
"220",6607009,24,4,14,"Male","Hispanic",602
"221",6607010,0,4,12,"Male","Hispanic",602
"222",6607010,3,4,12,"Male","Hispanic",602
"223",6607010,6,4,12,"Male","Hispanic",602
"224",6607010,12,4,12,"Male","Hispanic",602
"225",6607010,24,4,12,"Male","Hispanic",602
"226",6608002,0,4,11,"Female","Hispanic",602
"227",6608002,3,4,11,"Female","Hispanic",602
"228",6608002,6,3.9,11,"Female","Hispanic",602
"229",6608002,12,4,11,"Female","Hispanic",602
"230",6608002,24,4,11,"Female","Hispanic",602
"231",NA,0,3.8,NA,NA,NA,NA
"232",NA,0,3.9,NA,NA,NA,NA
"233",NA,0,3.9,NA,NA,NA,NA
"234",NA,3,3.8,NA,NA,NA,NA
"235",NA,3,4,NA,NA,NA,NA
"236",NA,3,4,NA,NA,NA,NA
"237",NA,6,3.5,NA,NA,NA,NA
"238",NA,6,4,NA,NA,NA,NA
"239",NA,12,4,NA,NA,NA,NA
"240",NA,12,4,NA,NA,NA,NA
